TransactionID,Items
1,Chicken Biryani;Cake (Chocolate)
2,Veg Biryani;Rasgulla
3,Waffles;Paneer Butter Masala;Salad;Fish Curry
4,Ice Cream (Vanilla);Pav Bhaji;Papad;Mutton Curry;Chicken Biryani
5,Jeera Rice;Masala Dosa;Veg Manchurian
6,Rasgulla;Laccha Paratha
7,Dal Tadka;Sweet Corn Soup;Masala Dosa;Jeera Rice;Poha
8,Cornflakes with Milk;Jalebi;Fish Curry;Gajar Halwa
9,Pav Bhaji;Laccha Paratha;Sweet Corn Soup;Waffles;Chicken Biryani
10,Idli;Fried Rice;Hakka Noodles
11,Veg Sandwich;Chicken Biryani
12,Fish Curry;Jeera Rice;Brownie;Aloo Paratha
13,Salad;Laccha Paratha
14,Jalebi;Hakka Noodles
15,Kheer;Veg Manchurian;Laccha Paratha;French Toast;Paneer Butter Masala
16,Cake (Chocolate);Rasgulla
17,Poori Bhaji;Laccha Paratha;Brownie;Gajar Halwa
18,Gulab Jamun;Veg Biryani;Lassi
19,Gajar Halwa;Ice Cream (Vanilla);Roti
20,Laccha Paratha;Kheer;Salad;Veg Biryani
21,Veg Sandwich;Coffee;Fried Rice;Gajar Halwa
22,Ice Cream (Chocolate);Brownie;Veg Sandwich;French Toast;Coffee
23,Tea;Coffee
24,Brownie;Kheer;Butter Naan;Ice Cream (Vanilla);Gulab Jamun
25,Poori Bhaji;Chole Masala;Fish Curry
26,Gajar Halwa;Bread Omelette;Waffles
27,Poha;Coffee;Veg Biryani;Dal Tadka
28,Pancakes;Bread Omelette;Aloo Paratha;French Toast;Lassi
29,Ice Cream (Chocolate);Gajar Halwa;Brownie;Pav Bhaji
30,Veg Manchurian;Chicken Biryani
31,Masala Dosa;Papad;Ice Cream (Vanilla)
32,Cornflakes with Milk;Paneer Butter Masala;Pav Bhaji
33,Cake (Chocolate);Salad;Gajar Halwa
34,Chole Bhature;Fish Curry;Idli;Veg Biryani
35,Gulab Jamun;Jeera Rice;Veg Manchurian;Waffles
36,Jalebi;Tea;Paneer Butter Masala
37,Ice Cream (Vanilla);Jeera Rice;Veg Sandwich;Butter Naan;Masala Dosa
38,Waffles;Laccha Paratha;Vada
39,Pancakes;Ice Cream (Chocolate);Tea
40,Ice Cream (Chocolate);Kheer;Upma
41,Paneer Tikka Masala;Gajar Halwa;Bread Omelette;Papad;Laccha Paratha
42,Salad;Waffles;French Toast;Sweet Corn Soup
43,Vada;Veg Manchurian
44,Hakka Noodles;Dal Tadka;Salad
45,Roti;Cake (Chocolate);Upma;Jeera Rice
46,Vada;Brownie;Paneer Butter Masala;Ice Cream (Chocolate);Butter Naan
47,Gulab Jamun;Cornflakes with Milk;Hakka Noodles;Fish Curry;Aloo Paratha
48,Butter Naan;Roti;Idli;Mutton Curry
49,Ice Cream (Vanilla);Chole Bhature;Idli;Butter Naan
50,Butter Naan;Cake (Chocolate);Lassi;Gajar Halwa;Upma
51,Ice Cream (Chocolate);Jalebi;Waffles;Brownie
52,Poori Bhaji;Lassi;Gulab Jamun;Pav Bhaji
53,Jeera Rice;Rasgulla;Kheer;Ice Cream (Vanilla);Gajar Halwa
54,Ice Cream (Chocolate);Cornflakes with Milk;Masala Dosa;Laccha Paratha;Poha
55,Chole Bhature;Vada;Gajar Halwa
56,Kheer;Salad;Veg Sandwich;Chole Bhature;Idli
57,Paneer Tikka Masala;Dal Tadka;Laccha Paratha;Veg Manchurian;Gulab Jamun
58,Veg Sandwich;Tea
59,Laccha Paratha;Fried Rice;Paneer Butter Masala;Mutton Curry;Papad
60,Papad;Pav Bhaji;Lassi;Fish Curry
61,Veg Sandwich;Pav Bhaji
62,Fish Curry;Poori Bhaji
63,Papad;Vada;Veg Manchurian
64,Chole Masala;Gajar Halwa
65,Sweet Corn Soup;Mutton Curry;Ice Cream (Vanilla)
66,Papad;Veg Manchurian;Pancakes;Salad;Hakka Noodles
67,Tea;Bread Omelette
68,Fish Curry;Hakka Noodles
69,Gajar Halwa;Brownie;Paneer Tikka Masala
70,Kheer;Aloo Paratha;Bread Omelette;Rasgulla;Papad
71,Rasgulla;French Toast;Veg Manchurian;Coffee
72,Laccha Paratha;Waffles
73,Jeera Rice;Poori Bhaji;Pav Bhaji;Idli;Paneer Butter Masala
74,Fried Rice;Jeera Rice;Chole Bhature
75,Mutton Curry;Gulab Jamun;Jalebi;Jeera Rice
76,Fish Curry;Brownie;Gulab Jamun;Rasgulla;Roti
77,Bread Omelette;Lassi;Gajar Halwa;Gulab Jamun
78,Poha;Fried Rice;Dal Tadka;Lassi;Gulab Jamun
79,Pancakes;Brownie;Butter Naan
80,Jalebi;Aloo Paratha;Salad;Tea
81,Coffee;Poha;Brownie;Ice Cream (Vanilla)
82,Idli;Jeera Rice;Lassi;Waffles
83,Fried Rice;Chole Masala;Sweet Corn Soup;Jeera Rice
84,Poha;Laccha Paratha;Fried Rice;French Toast;Tea
85,Chicken Biryani;Bread Omelette;Pav Bhaji
86,Fried Rice;Veg Biryani;Chole Bhature
87,Papad;Coffee
88,Jeera Rice;Pav Bhaji
89,Chicken Biryani;Masala Dosa;Gajar Halwa
90,Pancakes;Cornflakes with Milk;Gajar Halwa
91,Veg Biryani;Dal Tadka;Laccha Paratha;Chicken Biryani
92,Brownie;Veg Sandwich;Laccha Paratha;Idli;Coffee
93,Aloo Paratha;Gajar Halwa;Rasgulla;Paneer Tikka Masala;Gulab Jamun
94,Jeera Rice;Fish Curry;Waffles
95,Butter Naan;Papad;Waffles;Bread Omelette;Pav Bhaji
96,Ice Cream (Chocolate);Gajar Halwa;Paneer Tikka Masala
97,Gajar Halwa;Cake (Chocolate);Poha
98,Gajar Halwa;Butter Naan
99,Bread Omelette;Ice Cream (Vanilla)
100,Dal Tadka;Chole Masala
101,Laccha Paratha;Lassi;Chole Bhature;Ice Cream (Chocolate);Salad
102,Fish Curry;Chole Bhature;Bread Omelette;Papad;Ice Cream (Chocolate)
103,Jalebi;French Toast
104,Lassi;Chole Bhature;Tea;Papad;Pav Bhaji
105,Mutton Curry;Sweet Corn Soup;Veg Sandwich;Fried Rice
106,Roti;Paneer Tikka Masala;Pav Bhaji
107,Jeera Rice;Tea;Butter Naan;Gulab Jamun
108,Ice Cream (Vanilla);Waffles
109,Poori Bhaji;Poha;Roti;Veg Manchurian
110,Waffles;Gajar Halwa;Aloo Paratha;Veg Manchurian
111,Lassi;Upma;Cornflakes with Milk;Fried Rice;Jalebi
112,Chole Masala;Ice Cream (Vanilla);French Toast
113,Vada;Kheer;Ice Cream (Chocolate);Cornflakes with Milk
114,Poori Bhaji;Gajar Halwa;French Toast;Laccha Paratha
115,Roti;Veg Manchurian;Dal Tadka
116,Gajar Halwa;Waffles;Ice Cream (Chocolate);Hakka Noodles;Veg Sandwich
117,Cake (Chocolate);Chicken Biryani
118,Chicken Biryani;Chole Masala;Hakka Noodles;Pav Bhaji
119,Veg Sandwich;Paneer Tikka Masala;Cornflakes with Milk
120,Veg Manchurian;Ice Cream (Vanilla);Gulab Jamun;Fried Rice
121,Lassi;Waffles;Roti;Jalebi;Poha
122,Bread Omelette;Fish Curry
123,Salad;Jeera Rice
124,Chicken Biryani;French Toast;Upma;Gajar Halwa
125,Chole Bhature;Kheer;Aloo Paratha;Masala Dosa
126,Roti;Paneer Tikka Masala
127,Poori Bhaji;Paneer Tikka Masala;Fried Rice;Ice Cream (Vanilla)
128,Upma;Aloo Paratha;Jalebi;Papad
129,Chole Bhature;Idli;Aloo Paratha;Masala Dosa;Rasgulla
130,Chole Bhature;Upma
131,Pancakes;Vada;Cake (Chocolate);Lassi
132,Tea;Mutton Curry;Brownie;Aloo Paratha;Paneer Tikka Masala
133,Kheer;Poha;Paneer Butter Masala;Cornflakes with Milk;Fried Rice
134,Chole Masala;Hakka Noodles
135,Tea;Chicken Biryani;Bread Omelette
136,Gajar Halwa;French Toast;Sweet Corn Soup
137,Lassi;Brownie;Dal Tadka;Veg Manchurian
138,Veg Manchurian;Jeera Rice;Pav Bhaji
139,Gulab Jamun;Vada
140,Lassi;Upma;French Toast;Butter Naan
