TransactionID,Items
1,"Poori Bhaji, Aloo Paratha, Tea"
2,"Poori Bhaji, Aloo Paratha, Tea"
3,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
4,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
5,"Brownie, Cake (Chocolate), Ice Cream (Chocolate), Ice Cream (Vanilla)"
6,"Waffles, French Toast, Coffee, Cornflakes with Milk"
7,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
8,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
9,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
10,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
11,"Poha, Upma, Tea"
12,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
13,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
14,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
15,"Lassi, Aloo Paratha, Chole Bhature, Pav Bhaji"
16,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
17,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
18,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
19,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
20,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
21,"French Toast, Cornflakes with Milk, Coffee, Pancakes"
22,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
23,"Paneer Butter Masala, Paneer Tikka Masala, Butter Naan, Laccha Paratha"
24,"Bread Omelette, Veg Sandwich, Coffee, Pancakes"
25,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
26,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
27,"Salad, Veg Sandwich, Sweet Corn Soup"
28,"Veg Biryani, Chicken Biryani, Fried Rice, Jeera Rice"
29,"Salad, Veg Sandwich, Sweet Corn Soup"
30,"Roti, Butter Naan, Laccha Paratha, Jeera Rice"
31,"Pancakes, Waffles, French Toast, Coffee"
32,"Salad, Veg Sandwich, Sweet Corn Soup"
33,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
34,"Fried Rice, Hakka Noodles, Sweet Corn Soup, Veg Manchurian"
35,"Ice Cream (Vanilla), Gulab Jamun, Brownie, Cake (Chocolate)"
36,"Fish Curry, Mutton Curry, Roti, Jeera Rice"
37,"Aloo Paratha, Poori Bhaji, Lassi, Tea"
38,"Chole Masala, Chole Bhature, Jeera Rice, Butter Naan"
39,"Hakka Noodles, Veg Manchurian, Fried Rice, Sweet Corn Soup"
40,"Laccha Paratha, Butter Naan, Roti, Jeera Rice"
41,"Cake (Chocolate), Ice Cream (Chocolate), Brownie, Ice Cream (Vanilla)"
42,"Mutton Curry, Roti, Fish Curry, Chicken Biryani"
43,"Rasgulla, Jalebi, Kheer, Gajar Halwa"
44,"Gajar Halwa, Jalebi, Kheer, Rasgulla"
45,"Waffles, French Toast, Coffee, Cornflakes with Milk"
46,"Sweet Corn Soup, Veg Manchurian, Fried Rice, Salad"
47,"Upma, Tea, Poha"
48,"Veg Sandwich, Cornflakes with Milk, Coffee, French Toast"
49,"Chicken Biryani, Veg Biryani, Papad, Fried Rice"
